asin,title,count(reviews.asin)
B00ZE8HRYK,"Samsung Galaxy S6 Active, 32 GB , Grey (AT&T)",107
B010CK8O9Q,"Sony Xperia Z3 Plus E6533 32GB Black 3G/4G, Dual SIM Unlocked Factory 4G LTE - International Version No Warranty",2
B010V43VFA,"Sony Experia Z3+ 4G LTE Unlocked 32GB Octa Core 3GB RAM E6553 (LTE USA Latin Caribbean Europe) Waterproof 23 MP No Warranty (White)",12
B011AC4U7A,"Samsung Galaxy S6 G920T 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone w/ 16MP Camera - Black",61
B0134TVCHI,"Samsung Galaxy S6 Edge+, Black 32GB (Sprint)",83
B013IP8IKM,"Sony Xperia E1 D2004 Unlocked GSM 4" Android Dual-Core Smartphone - Black"",8
B013XAPPIK,"Samsung Galaxy Note 5, Black  32GB (Verizon Wireless)",288
B014KI1XL2,"Apple iPhone 6, GSM Unlocked, 16GB - Space Gray (Renewed)",7
B014V5XDV2,"Samsung Galaxy S6 G920v 32GB Verizon Wireless CDMA Smartphone - Gold Platinum (Renewed)",25
B014Z8HDWU,"Apple iPhone 6, GSM Unlocked, 64GB - Space Gray (Renewed)",97
B01595SI9U,"Samsung Galaxy Note 4 N910a 32GB GSM Unlocked Smartphone Charcoal Black (Renewed)",227
B015ROR4PC,"Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Gray (Renewed)",15
B015YCRZ1K,"Huawei Nexus 6P Unlocked Smartphone, 64GB, US Warranty (Graphite)",10
B016X075F8,"Samsung Galaxy S5 SM-G900T -16GB Black + GSM Unlocked (Renewed)",89
B016X1ZXNS,"Samsung Galaxy S4 I337 16GB 4G LTE Unlocked GSM Smartphone - White (Renewed)",26
B0182MA8UY,"Samsung Galaxy S6 G920T 32GB T-Mobile/GSM Unlocked Phone (Renewed) (Gold)",5
B018OMP8ES,"Samsung Galaxy Note 5 SM-N920V Gold 32GB (Verizon Wireless)",288
B0192TCZWA,"Motorola DROID Turbo 2, XT1585 32GB Black, Unlocked (Verizon Wireless)",187
B019BH7V0O,"Motorola Moto G3 Turbo Edition XT1557 4G LTE Dual SIM 16GB Factory Unlocked No Warranty Octacore Water Resistant",2
B019S654DO,"Samsung Galaxy S4 16GB Black SPH-L720T Tri-Band (Boost Mobile)",38
B01AL0WL46,"Samsung Galaxy Grand Prime - T-Mobile GSM Quad-Core Android Phone w/ 8MP Camera - Gray",32
B01ATTBXY8,"Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Black (Renewed)",87
B01B93KLUU,"Samsung Galaxy Note 3 SM-N900T (32 GB, T-Mobile)",39
B01BHEBDVW,"Motorola Droid Maxx 2 XT1565 16 GB Verizon Phone w/ 21 MP Rear Camera - White (Renewed)",8
B01BI2XQ5O,"Apple iPhone 6 16 GB Unlocked, Gold (Renewed)",155
B01C5OIINO,"Samsung Galaxy S7 Edge SM-G935F 32GB (GSM Only, No CDMA) Factory Unlocked 4G/LTE Single SIM Smartphone (Black Onyx)",23
B01C62I49I,"Apple iPhone 6, 64GB, Silver - GSM Unlocked (Renewed)",10
B01CJ3SCCI,"Samsung Galaxy S7 Edge, 5.5" 32GB (Verizon Wireless) - Black"",59
B01CJ3SCJ6,"Samsung Galaxy S7 32GB Unlocked (Verizon Wireless) - Gold",106
B01CJ3SCN2,"Samsung Galaxy S7, Black 32GB (Verizon Wireless)",85
B01CJ3SF02,"Samsung Galaxy GS7 Edge, Gold 32GB (Verizon Wireless)",20
B01CJU9126,"Samsung Galaxy S7 G930F 32GB Factory Unlocked GSM Smartphone - International Version - Titanium Silver",95
B01CN1RZY2,"Samsung Galaxy Note 5 SM-N920T 64gb - Unlocked Cellphone GSM - Platinum Gold (T - Mobile)",11
B01COSAKMI,"Huawei Mate 8 NXT-L09 32GB 6-Inch 4G LTE Factory Unlocked Smartphone - International Stock No Warranty (Space Gray)",14
B01CP4CGCI,"Samsung Galaxy GS7 Edge, Black 32GB (Sprint)",8
B01CP4CGTQ,"Samsung Galaxy S7 G930P 32GB, Black Onyx - Sprint",18
B01CR1FQMG,"Apple iPhone 6S, GSM Unlocked, 64GB - Rose Gold (Renewed)",10
B01CR2IA6Y,"Apple iPhone 6S, GSM Unlocked, 16GB - Space Grey (Renewed)",187
B01CYYYRNK,"Samsung Galaxy S7 SM-G930A AT&T Unlocked Smartphone, (Black Onyx)",176
B01D0JV7AO,"Samsung Galaxy S6 SM-G920V 32GB Sapphire Black Smartphone for Verizon (Renewed)",10
B01D0K1XUM,"Samsung Galaxy S6 SM-G920V 32GB White Smartphone for Verizon (Renewed)",10
B01D4GDARQ,"Samsung Galaxy S7 Edge Smartphone - GSM Unlocked - 32 GB - No Warranty - Gold",35
B01D52K8DI,"Samsung Galaxy S6 SM-G920A 32GB Sapphire Black Smartphone for AT&T (Renewed)",41
B01D56C50I,"Samsung Galaxy S7 SM-G930F 32GB Unlocked GSM 4G/LTE Smartphone - Gold (International version, No Warranty)",6
B01DC1ZM0Q,"Apple iPhone 6S, AT&T, 64GB - Gold (Renewed)",2
B01DUPOOMG,"Samsung Galaxy S6 G920P 32GB Black Boost Mobile Smartphone",15
B01DZJFWWS,"Moto G (4th Gen.) Unlocked - Black - 32GB",10
B01DZJFWXC,"Moto G Plus (4th Gen.) Unlocked - White - 64GB - U.S. Warranty",10
B01E7FK14S,"Samsung Galaxy J3 Express Prime 2 SM-J327A 4G LTE 7.0 Nougat 5" Smartphone (AT&T) - Black"",25
B01E7JU3KG,"Samsung Galaxy Core Prime, Charcoal Grey 8GB (Verizon ) (Renewed)",6
B01EVMZMZU,"Apple iPhone 6 Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",24
B01F482BTK,"Samsung Galaxy S7 G930A 32GB Black Onyx - Unlocked GSM (Renewed)",216
B01F4889GE,"Samsung Galaxy S7 G930A 32GB Gold Platinum - Unlocked GSM (Renewed)",216
B01FCFZS3G,"Samsung Galaxy S7 Edge G935A 32GB AT&T - Black Onyx",62
B01FCR0GOK,"Samsung Galaxy S6 Active G890A 32GB 16MP Camera Unlocked GSM 4G LTE Octa-Core Smartphone, Blue",21
B01FIW1B9S,"Samsung Galaxy S7 G930T 32GB T-Mobile - Black",160
B01FJT7E0A,"Sony Xperia XA F3113 16GB GSM Android v6.0 Phone - Graphite Black",188
B01FJT7E3M,"Sony Xperia XA Ultra unlocked smartphone,16GB White (US Warranty)",249
B01FJT7MZC,"Sony Xperia X Performance F8131 32GB Unlocked GSM LTE Android Phone w/ 23MP Camera - Black",59
B01FJT7N4W,"Sony Xperia X F5121 32GB GSM 23MP Camera Phone - Graphite Black",110
B01GP2XIJQ,"Samsung Galaxy Amp 2 - Cricket",6
B01GQWT4SE,"Samsung Express 3 J120a 4G LTE Unlocked GSM (White)",118
B01GXAT0CE,"Apple iPhone SE, 16GB, Rose Gold - For AT&T / T-Mobile (Renewed)",225
B01GXAZFR8,"Apple iPhone SE, 64GB, Space Gray - For AT&T / T-Mobile (Renewed)",105
B01H93TCCM,"Samsung Galaxy S7 Active SM-G891A 32GB Sandy Gold No-Contract AT&T",15
B01HFD0XJM,"Samsung Galaxy S7 Edge unlocked smartphone, 32 GB Silver (US Warranty - Model SM-G935UZSAXAA)",143
B01HQTL47A,"Samsung G920A Galaxy S6 32GB, Black Saphire (Renewed)",2
B01HU2C224,"Samsung Galaxy S7 G930V 32GB, Verizon, Gold Platinum, Unlocked Smartphones (Renewed)",25
B01HW6GRL0,"Samsung Galaxy S7 Active G891A 32GB Unlocked GSM Shatter,Dust and Water Resistant Smartphone w/ 12MP Camera - Camo Green",28
B01I0HP1Z8,"Samsung Galaxy S6 G920T Unlocked GSM 4G LTE Smartphone w/ 16MP Camera - White Pearl",30
B01INN9D0I,"Samsung Galaxy S6 SM-G920V 64GB Sapphire Black Smartphone For Verizon (Renewed)",20
B01INRGCV2,"Samsung Galaxy Note5 N920V 32GB Verizon CDMA No-Contract Smartphone - Black Sapphire (Renewed)",97
B01INV912A,"Motorola G4 16GB Smartphone",1
B01IVV7W8M,"Huawei Honor 8 Unlocked Smartphone 32 GB Dual Camera - US Warranty (Sapphire Blue)",10
B01J63O3KY,"Samsung GS6 5.1" Certified Pre-Owned Carrier Locked Phone - 32GB - White (Verizon)"",1
B01J6MS6Z8,"Samsung Galaxy S7 SM-G930F 32GB Factory Unlocked GSM 4G LTE Single Sim Smartphone (Black)",6
B01J8C50TQ,"Samsung Galaxy Sol 4G LTE Unlocked 8GB Memory Cell Phone 5" Quad Core SM-J321AZ"",5
B01JAWXOO2,"Apple iPhone 6S Plus, 16GB, Gold - For AT&T / T-Mobile (Renewed)",10
